Title,Publication,URL,Published Date,Reading Time (min),Presentations,Views,Reads,CTR (Views/Presentations),Read/View Ratio,Reads/Presentation,CTR,ReadRatio,ReadsPerPresentation,logReads,WeightedScore,SampleFlag,AdjustedScore
🔋 This One Shift Changed How I See Every ‘Problem’ in My Life,,https://medium.com/@amsborse/this-one-shift-changed-how-i-see-every-problem-in-my-life-78ef43ab60b8,2025-08-07,4.71,104,16,4,0.154,0.25,0.038,0.15384615384615385,0.25,0.038461538461538464,1.6094379124341003,0.1699766722540886,Low Sample (<20 views),0.1104848369651576
🛎️ How One Question Changed How I Move Through Life,,https://medium.com/@amsborse/%EF%B8%8F-how-one-question-changed-how-i-move-through-life-e945ddc0bdef,2025-08-06,4.57,80,10,5,0.125,0.5,0.062,0.125,0.5,0.0625,1.791759469228055,0.29356257582161355,Low Sample (<20 views),0.1908156742840488
🍽️ The Myth of “Losing Weight”,,https://medium.com/@amsborse/%EF%B8%8F-the-myth-of-losing-weight-09b4bd31f03d,2025-08-05,6.68,60,17,7,0.283,0.412,0.117,0.2833333333333333,0.4117647058823529,0.11666666666666667,2.0794415416798357,0.2872242868201113,Low Sample (<20 views),0.18669578643307236
You’re Not Here to Converse. You’re Here to Connect.,,https://medium.com/@amsborse/youre-not-here-to-converse-you-re-here-to-connect-45d87fc92bc0,2025-08-05,4.01,120,11,4,0.092,0.364,0.033,0.09166666666666666,0.36363636363636365,0.03333333333333333,1.6094379124341003,0.21620918973660608,Low Sample (<20 views),0.14053597332879394
👁️ Why Is Eye Contact So Damn Hard?,,https://medium.com/@amsborse/%EF%B8%8F-why-is-eye-contact-so-damn-hard-48c6abac5846,2025-08-04,2.55,76,5,3,0.066,0.6,0.039,0.06578947368421052,0.6,0.039473684210526314,1.3862943611198906,0.3183920426065964,Low Sample (<20 views),0.2069548276942877
🎯 Should You Have a Purpose or a Goal in Life?,,https://medium.com/@amsborse/should-you-have-a-purpose-or-a-goal-in-life-7d0f62b2f0ce,2025-08-04,5.55,57,13,5,0.228,0.385,0.088,0.22807017543859648,0.38461538461538464,0.08771929824561403,1.791759469228055,0.2556197620564314,Low Sample (<20 views),0.1661528453366804
🧠 You Are What You Consume👁️,,https://medium.com/@amsborse/you-are-what-you-consume-%EF%B8%8F-c8e3075c444c,2025-08-04,3.29,86,7,3,0.081,0.429,0.035,0.08139534883720931,0.42857142857142855,0.03488372093023256,1.3862943611198906,0.24042299207328635,Low Sample (<20 views),0.15627494484763613
🏋🏽“हार्ड वर्क”चं खोटं समज,,https://medium.com/@amsborse/%E0%A4%B9%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%A1-%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%95-%E0%A4%9A%E0%A4%82-%E0%A4%96%E0%A5%8B%E0%A4%9F%E0%A4%82-%E0%A4%B8%E0%A4%AE%E0%A4%9C-7345c9cddb57,2025-08-02,1.49,59,6,3,0.102,0.5,0.051,0.1016949152542373,0.5,0.05084745762711865,1.3862943611198906,0.279168135380905,Low Sample (<20 views),0.18145928799758826
The Lie We Tell About “Hard Work” 🏋🏽,,https://medium.com/@amsborse/the-lie-we-tell-about-hard-work-2aee7b78b88f,2025-08-02,2.63,96,12,7,0.125,0.583,0.073,0.125,0.5833333333333334,0.07291666666666667,2.0794415416798357,0.3412010025063858,Low Sample (<20 views),0.22178065162915078
🏛️Stoicism — The Emperor’s Mirror: Meditation By Marcus Aurelius,,https://medium.com/@amsborse/%EF%B8%8Fstoicism-the-emperors-mirror-meditation-by-marcus-aurelius-c02f41a1b556,2025-08-01,6.66,108,26,14,0.241,0.538,0.13,0.24074074074074073,0.5384615384615384,0.12962962962962962,2.70805020110221,0.3608321119126049,Meaningful Sample,0.3608321119126049
🏛️ स्टोइसिझम — सम्राटाची आरसा: मार्कस अवरेलियसचे Meditations,,https://medium.com/@amsborse/%EF%B8%8F-%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A5%8B%E0%A4%87%E0%A4%B8%E0%A4%BF%E0%A4%9D%E0%A4%AE-%E0%A4%B8%E0%A4%AE%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%9F%E0%A4%BE%E0%A4%9A%E0%A5%80-%E0%A4%86%E0%A4%B0%E0%A4%B8%E0%A4%BE-%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%95%E0%A4%B8-%E0%A4%85%E0%A4%B5%E0%A4%B0%E0%A5%87%E0%A4%B2%E0%A4%BF%E0%A4%AF%E0%A4%B8%E0%A4%9A%E0%A5%87-meditations-fd177e50fb55,2025-07-31,4.61,53,5,4,0.094,0.8,0.075,0.09433962264150944,0.8,0.07547169811320754,1.6094379124341003,0.4274549015719406,Low Sample (<20 views),0.2778456860217614
✨ “Your Words Gave It Meaning” — A Shogun Lesson Etched in Silence,,https://medium.com/@amsborse/your-words-gave-it-meaning-a-shogun-lesson-etched-in-silence-95ddb1e87987,2025-07-31,3.75,59,21,10,0.356,0.476,0.169,0.3559322033898305,0.47619047619047616,0.1694915254237288,2.3978952727983707,0.34552159538859595,Meaningful Sample,0.34552159538859595
🤝 “The Best Lessons from How to Win Friends and Influence People — That Still Matter Today”,,https://medium.com/@amsborse/the-best-lessons-from-how-to-win-friends-and-influence-people-that-still-matter-today-85eb8b2a1ee8,2025-07-31,4.08,74,6,2,0.081,0.333,0.027,0.08108108108108109,0.3333333333333333,0.02702702702702703,1.0986122886681096,0.1883076996107762,Low Sample (<20 views),0.12240000474700453
"🌱Tulips, Children, and the Things We Grow Without Realizing",,https://medium.com/@amsborse/tulips-children-and-the-things-we-grow-without-realizing-165617026e01,2025-07-30,4.7,74,16,10,0.216,0.625,0.135,0.21621621621621623,0.625,0.13513513513513514,2.3978952727983707,0.39347534514319316,Low Sample (<20 views),0.25575897434307554
"“Seven and a Half Lessons About the Brain” — Not Just a Summary, But a Wake-Up Call",,https://medium.com/@amsborse/seven-and-a-half-lessons-about-the-brain-not-just-a-summary-but-a-wake-up-call-381dcda3bc0e,2025-07-28,4.3,58,14,7,0.241,0.5,0.121,0.2413793103448276,0.5,0.1206896551724138,2.0794415416798357,0.32624051400063875,Low Sample (<20 views),0.2120563341004152
🌪️ ताण म्हणजे तुमच्या मनाने चालवलेलं हॉरर शो — तुमच्या परवानगीशिवाय,,https://medium.com/@amsborse/%EF%B8%8F-%E0%A4%A4%E0%A4%BE%E0%A4%A3-%E0%A4%AE%E0%A5%8D%E0%A4%B9%E0%A4%A3%E0%A4%9C%E0%A5%87-%E0%A4%A4%E0%A5%81%E0%A4%AE%E0%A4%9A%E0%A5%8D%E0%A4%AF%E0%A4%BE-%E0%A4%AE%E0%A4%A8%E0%A4%BE%E0%A4%A8%E0%A5%87-%E0%A4%9A%E0%A4%BE%E0%A4%B2%E0%A4%B5%E0%A4%B2%E0%A5%87%E0%A4%B2%E0%A4%82-%E0%A4%B9%E0%A5%89%E0%A4%B0%E0%A4%B0-%E0%A4%B6%E0%A5%8B-%E0%A4%A4%E0%A5%81%E0%A4%AE%E0%A4%9A%E0%A5%8D%E0%A4%AF%E0%A4%BE-%E0%A4%AA%E0%A4%B0%E0%A4%B5%E0%A4%BE%E0%A4%A8%E0%A4%97%E0%A5%80%E0%A4%B6%E0%A4%BF%E0%A4%B5%E0%A4%BE%E0%A4%AF-4ae8bce1af1f,2025-07-28,1.91,53,5,3,0.094,0.6,0.057,0.09433962264150944,0.6,0.05660377358490566,1.3862943611198906,0.32581508133549414,Low Sample (<20 views),0.2117798028680712
🌪️ Stress Is Just Your Mind Playing Horror Films Without Your Permission,,https://medium.com/@amsborse/%EF%B8%8F-stress-is-just-your-mind-playing-horror-films-without-your-permission-1c3ea377876f,2025-07-28,3.14,59,10,5,0.169,0.5,0.085,0.1694915254237288,0.5,0.0847457627118644,1.791759469228055,0.30357316904195253,Low Sample (<20 views),0.19732255987726915
🌌 The Temple of Unfinished Lessons,,https://medium.com/@amsborse/the-temple-of-unfinished-lessons-2eedd50f1b13,2025-07-25,2.93,57,7,4,0.123,0.571,0.07,0.12280701754385964,0.5714285714285714,0.07017543859649122,1.6094379124341003,0.3241674376290645,Low Sample (<20 views),0.21070883445889194
🪷 How to Teach Your House to Love You Back,,https://medium.com/@amsborse/how-to-teach-your-house-to-love-you-back-a601a32a010f,2025-07-23,2.95,110,20,12,0.182,0.6,0.109,0.18181818181818182,0.6,0.10909090909090909,2.5649493574615367,0.37516014793507535,Meaningful Sample,0.37516014793507535
The Game of Thought: How To Master Your Mind,,https://medium.com/@amsborse/the-game-of-thought-how-to-master-your-mind-77f1cbe23103,2025-07-23,3.44,71,19,11,0.268,0.579,0.155,0.2676056338028169,0.5789473684210527,0.15492957746478872,2.4849066497880004,0.38421291513825495,Low Sample (<20 views),0.24973839483986573
The Comfort of Ego: When Our Identities Become Our Safety Net,,https://medium.com/@amsborse/the-comfort-of-ego-when-our-identities-become-our-safety-net-6f7a57cf90a0,2025-07-21,4.91,109,21,13,0.193,0.619,0.119,0.1926605504587156,0.6190476190476191,0.11926605504587157,2.6390573296152584,0.3895075122250919,Meaningful Sample,0.3895075122250919
Alchemy of the Mind 4: The Evolution of Self-Discipline,,https://medium.com/@amsborse/alchemy-of-the-mind-4-the-evolution-of-self-discipline-c3b4a8500a26,2025-07-11,3.91,79,12,5,0.152,0.417,0.063,0.1518987341772152,0.4166666666666667,0.06329113924050633,1.791759469228055,0.2576844112646515,Low Sample (<20 views),0.1674948673220235
Life 01: Difficult Situations Aren’t a Test from God — They’re a Mirror of Your Dreams,,https://medium.com/@amsborse/life-01-difficult-situations-arent-a-test-from-god-they-re-a-mirror-of-your-dreams-4e3294cfbb80,2025-07-04,3.07,106,12,6,0.113,0.5,0.057,0.11320754716981132,0.5,0.05660377358490566,1.9459101490553132,0.2943882452535292,Low Sample (<20 views),0.19135235941479398
The Power of Meaning: Why Chasing Importance Leaves You Feeling Empty,,https://medium.com/@amsborse/the-power-of-meaning-why-chasing-importance-leaves-you-feeling-empty-69c5475685a9,2025-03-30,10.03,113,11,8,0.097,0.727,0.071,0.09734513274336283,0.7272727272727273,0.07079646017699115,2.197224577336219,0.4065071171663677,Low Sample (<20 views),0.26422962615813905
Alchemy of the Mind 3: The Psychology of Dressing for Success,,https://medium.com/@amsborse/alchemy-of-the-mind-3-the-psychology-of-dressing-for-success-cd57e1242b9c,2025-03-21,3.33,95,4,1,0.042,0.25,0.011,0.042105263157894736,0.25,0.010526315789473684,0.6931471805599453,0.13393286340856136,Low Sample (<20 views),0.08705636121556488
Alchemy of the Mind 2: Escaping the Sunk Cost Fallacy,,https://medium.com/@amsborse/alchemy-of-the-mind-2-escaping-the-sunk-cost-fallacy-8d99eeda39f3,2025-03-14,2.87,100,25,10,0.25,0.4,0.1,0.25,0.4,0.1,2.3978952727983707,0.28161723703508507,Meaningful Sample,0.28161723703508507
The Age Myth: Why 30 Doesn’t Mark the End of Your Adventure,,https://medium.com/@amsborse/the-shocking-truth-about-turning-30-that-no-one-wants-you-to-know-3054a99768e6,2025-03-07,9.59,171,202,112,1.181,0.554,0.655,1.1812865497076024,0.5544554455445545,0.6549707602339181,4.727387818712341,0.6444997615611805,Meaningful Sample,0.6444997615611805
"The Secret To Invisible Forces Of Life: Thoughts, Emotions, Feelings and Experience",New Earth Consciousness,https://medium.com/new-earth-consciousness/the-secret-to-invisible-forces-of-life-thoughts-emotions-feelings-and-experience-37caf85a45fe,2025-02-23,11.27,766,180,70,0.235,0.389,0.091,0.2349869451697128,0.3888888888888889,0.09138381201044386,4.2626798770413155,0.31493657235875666,Meaningful Sample,0.31493657235875666
The Ultimate Cheat Sheet To Emotions & Feelings: What They Mean & How to Reframe Them,,https://medium.com/@amsborse/the-ultimate-cheat-sheet-to-emotions-feelings-what-they-mean-how-to-reframe-them-3f367e08f594,2025-02-23,12.22,137,106,29,0.774,0.274,0.212,0.7737226277372263,0.27358490566037735,0.2116788321167883,3.4011973816621555,0.3126473320967631,Meaningful Sample,0.3126473320967631
Alchemy of the Mind 0: The Art of Thought Transformation,,https://medium.com/@amsborse/alchemy-of-the-mind-0-the-art-of-thought-transformation-7b100a78cdde,2025-02-14,3.6,131,48,22,0.366,0.458,0.168,0.366412213740458,0.4583333333333333,0.16793893129770993,3.1354942159291497,0.354113079262068,Meaningful Sample,0.354113079262068
Alchemy of the Mind 1: The “I Know” Trap (aka Confirmation Bias),,https://medium.com/@amsborse/alchemy-of-the-mind-1-the-i-know-trap-aka-confirmation-bias-f141ae3f6d64,2025-02-14,3.93,110,39,16,0.355,0.41,0.145,0.35454545454545455,0.41025641025641024,0.14545454545454545,2.833213344056216,0.31719352246122967,Meaningful Sample,0.31719352246122967
The World Need More Creators Not Followers: The reason I’m writing,,https://medium.com/@amsborse/the-world-need-more-creators-the-reason-im-writing-3ef2cf9da5d4,2025-02-04,5.58,133,32,18,0.241,0.562,0.135,0.24060150375939848,0.5625,0.13533834586466165,2.9444389791664403,0.37897548185419205,Meaningful Sample,0.37897548185419205
Surrendering to the Universe: Why Trusting the Universe is the Ultimate Hack for Peace,,https://medium.com/@amsborse/surrendering-to-the-universe-why-trusting-the-universe-is-the-ultimate-hack-for-peace-b2da00097b69,2025-01-31,12.42,874,216,109,0.247,0.505,0.125,0.2471395881006865,0.5046296296296297,0.12471395881006865,4.700480365792416,0.38917365118157005,Meaningful Sample,0.38917365118157005
Inference vs. Belief: The Fine Line Between Knowing and Assuming,,https://medium.com/@amsborse/inference-vs-belief-how-your-mind-makes-sense-of-the-world-2cc62e77903e,2025-01-25,12.18,149,78,37,0.523,0.474,0.248,0.5234899328859061,0.47435897435897434,0.2483221476510067,3.6375861597263857,0.40864416212162746,Meaningful Sample,0.40864416212162746
I don’t have time,,https://medium.com/@amsborse/i-dont-have-time-cd7a37668724,2025-01-12,10.05,185,124,51,0.67,0.411,0.276,0.6702702702702703,0.4112903225806452,0.2756756756756757,3.951243718581427,0.40425484527234,Meaningful Sample,0.40425484527234
No One is Coming To Save You,,https://medium.com/@amsborse/no-one-is-coming-to-save-you-f133f9ffbf87,2025-01-04,9.9,256,358,195,1.398,0.545,0.762,1.3984375,0.5446927374301676,0.76171875,5.278114659230517,0.7007550430729204,Meaningful Sample,0.7007550430729204
